,rating,rating_title,rating_description,rating_pros,rating_cons
1217,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
1218,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
1219,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
1220,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
1221,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
1222,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
1223,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
1224,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
1225,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
1226,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
1227,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
1228,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
1229,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
1230,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
1231,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
1232,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
1233,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
1234,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
1235,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
1236,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
1237,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
1238,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
1239,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
1240,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
1241,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
1242,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
1243,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
1244,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
1245,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
1246,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
1247,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
1248,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
1249,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
1250,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
1251,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
1252,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
1253,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
1254,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
1255,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
1256,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
1257,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
1258,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
1259,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
1260,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
1261,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
1262,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
1263,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
1264,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
1265,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
1266,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
1267,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
1268,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
1269,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
1270,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
1271,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
1272,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
1273,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
1274,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
1275,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
1276,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
1277,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
1278,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
1279,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
1280,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
1281,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
1282,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
1283,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
1284,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
1285,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
1286,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
1287,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
1288,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
1289,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
1290,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
1291,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
1292,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
1293,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
1294,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
1295,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
1296,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
1297,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
1298,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
1299,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
1300,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
1301,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
1302,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
1303,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
1304,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
1305,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
1306,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
1307,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
1308,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
1309,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
1310,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
1311,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
1312,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
1313,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
1314,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
1315,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
1316,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
1317,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
1318,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
1319,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
1320,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
1321,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
1322,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
1323,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
1324,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
1325,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
1326,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
1327,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
1328,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
1329,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
1330,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
1331,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
1332,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
1333,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
1334,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
1335,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
1336,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
1337,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
1338,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
1339,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
1340,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
1341,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
1342,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
1343,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
1344,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
1345,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
1346,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
1347,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
1348,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
1349,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
1350,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
1351,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
1352,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
1353,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
1354,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
1355,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
1356,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
1357,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
1358,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
1359,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
1360,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
1361,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
1362,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
1363,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
1364,5.0,Great company with supportive work team,"Diligent Customer Service Representative bringing top-notch skills in oral and written communication, active listening and analytical problem-solving skills. Able to enhance customer experiences by employing service-oriented behaviors, understanding customer desires and providing customized solutions to build loyalty.",,
1365,5.0,Line Cook Working Omelette station during breakfast hours and a carving station during lunch hours,"Truly a great place to work, Chef was an awesome guy, Google employees some of the nicest and happiest people in a work environment that I've ever seen.",Free food,Early start time?
1366,5.0,Fun place,I am glad today that I login here.I like  it  very  much.It is ver good.....I hope that it will work  like this in the comming year.It's to good......,Translation and writing,Healhacare
1367,3.0,Google should know better,"Google shouldn't participate in project Dragonfly.It is against my moral boundaries to build a search engine for a dictatorship like China. Google please do better.",,
1368,5.0,Fun place!,Google is an awesome place to work! The hours are pretty typical but some days would go longer than others. There is a lot of creativity in this space and no question is a stupid one! I like that I was able to speak my mind and be heard.,Collaborative,Long Hours
1369,5.0,Amazing Place,Google is an amazing work environment with lots of creative spaces around campus. Amazing people with great work culture . Managers & Leads are really helpful too,Free Lunch & many many other perks,I guess... Meeting Deadlines are somewhat challenging
1370,5.0,Technical Support Mississauga Ontario,Customer service/call centre mainly tech support. it was great learning about the different apps coming out to the market.,,
1371,5.0,Fun company to work,"Lots smart college to work with and learn. But internal competition is  high as well, when everyone is smart, it will be a fun situation.  It's a good place to learn and improve.",,
1372,4.0,good,"good working experience but less salary as expected, management could be done better and work culture is very flexible and for timing perspective, they are very strict.",,
1373,5.0,Google was a great experience,The overall experience was great. The team showcased the Google home for the first time In my city and everyone had a great time. I managed a team and they exceeded my overall expectations.,,
1374,3.0,Management is secretive,"Google seems to mostly hire ""Temporary Vendors and Contractors"". They use temp agencies as their HR department. My manager worked hard to only give information out that was absolutely necessary, and mostly seemed to be afraid someone she was managing would take her job.",,
1375,5.0,Excellent Work Environment,Quality before Quantity. Productivity with end results. Absolutely a great place to work and learn. Collaborative work is key to the work environment.,,
1376,5.0,Great place,"Great pay, great people. This company will give you the highest level of money and benefit. You don't need to pay anything for full coverage. 100% of dental, 100% of drug and 100% of everything within limitation. Nice and knowledgable coworkers. You can really learn a lot from them.",,
1377,4.0,Good work and life balance,"Good work and life balance, fair pay, overall positive team dynamic and some healthy amounts of competitions. Overall a great experience at the Toronto office.",,
1378,5.0,work was fun because it included travelling aswell.,overall i would rate working for Google is 5 star. It was fun to work for Google and we had tasks given for the day to go and inspect stores where Google products were being sold. we also had to train individuals if there was a new product launched.,,
1379,5.0,Love the work Culture,Typical Sales day with boosting product sales with a Googley Culture. The management really cares about you and want the hard workers to succeed. You have to be very sales oriented.,,
1380,5.0,Fast Paced Competitive Environment,"Coordinated the Google Retail Program (GRP), and managed teams of Google Retail Specialists creating awareness, and facilitating sales of all Google HardwareCreated in-depth training templates to be used on a nationwide program levelEstablished strong rapport with top management in various environments, and created a strong connection of communication to ensure our client’s needs were consistently and exceedingly met",,
1381,5.0,Worked as contractor,As a sales contractor for Google your treated as a 2nd class citizen. Work directly for Google or don't work for them at all. They treat internal employees very well however.,,
1382,5.0,Productive and fun,"I was very well taken care of. Training modules, equipments, tools were all sent within 1-2 days and everything was ready to go. We also had paid expenses training in San Diego.",,
1383,4.0,Great Place to Be Creative,An at home job where you can get paid to create your own income based on the success of your videos and ad revenue. I can create my own content and access the information with the community.  A great experience to get started in film and video production. A great place for your message to be heard world wide.,,
1384,5.0,Google is the best site,"Is the best site to solve big problems o easily   my life dream is work at GoogleGoogle give best environment for they're employees Google response ever problem",,
